model,price,year,mileage,vol_engine,Power
147,9609.959183673469,2006.5714285714287,183155.14285714287,1716.2857142857142,118.87755102040816
159,18257.364130434784,2007.945652173913,230847.3260869565,2017.0108695652175,158.55978260869566
2,28927.71770334928,2011.846889952153,130943.67464114832,1413.267942583732,85.54066985645933
2008,61671.74336283186,2016.8738938053098,80460.69690265486,1298.725663716814,106.1924778761062
206,8078.824561403509,2006.5964912280701,164064.91228070174,1408.6842105263158,80.94736842105263
207,13373.15243902439,2008.4715447154472,169746.61585365853,1456.9837398373984,95.76626016260163
208,45478.26369168357,2016.8640973630831,73352.25963488844,1253.578093306288,93.04259634888439
3,47917.57256778309,2013.5199362041467,120137.16905901117,1869.4848484848485,130.7097288676236
3008,79855.31979030144,2015.8007863695937,120106.57273918742,1594.4927916120578,140.435124508519
300C,39528.56363636364,2009.290909090909,203625.9090909091,3707.018181818182,265.25454545454545
307,10219.852564102564,2006.025641025641,219240.75,1647.923076923077,111.09615384615384
308,43697.89210019268,2014.7658959537573,140441.45761078998,1540.7928709055877,122.52408477842003
3gt,111582.3018018018,2017.027027027027,111066.00450450451,2008.981981981982,185.25225225225225
407,12715.35,2006.7545454545455,229373.03181818183,1970.8227272727272,138.09545454545454
5,20670.251184834124,2008.7109004739336,193526.58293838863,1908.568720379147,130.8388625592417
500,48249.081027667984,2015.5415019762845,70587.16600790514,1024.9703557312253,80.94268774703558
5008,68566.5025,2014.85,158285.41,1703.8375,141.2225
500l,42348.87777777778,2015.2666666666667,95466.1,1344.7333333333333,102.18888888888888
500x,59282.1746031746,2016.952380952381,62634.74603174603,1487.5396825396826,127.47619047619048
508,64991.55400696864,2015.1602787456445,154869.13704994193,1802.8989547038327,153.9965156794425
5gt,79222.19047619047,2011.984126984127,221165.7619047619,2909.253968253968,267.85714285714283
6,52381.83273164862,2012.8543922984356,157809.1263537906,2109.309265944645,159.31407942238266
911,572121.6033057851,2014.8842975206612,53222.884297520664,3453.396694214876,438.11570247933884
Cayenne,231162.6692913386,2013.5013123359581,148609.656167979,3718.8477690288714,360.9212598425197
Cayman,138376.84615384616,2010.7692307692307,103845.0,2913.153846153846,285.38461538461536
Forester,60894.443478260866,2012.4782608695652,160264.7,2050.278260869565,173.5391304347826
GS,90177.57142857143,2011.9761904761904,169913.9880952381,2988.8571428571427,269.75
Grand-Voyager,25671.272727272728,2007.909090909091,238573.13636363635,3029.818181818182,167.0
IS,79441.58914728682,2012.6666666666667,135904.53488372092,2417.813953488372,224.45736434108528
Impreza,41508.32530120482,2009.6506024096386,156872.18072289156,2070.89156626506,182.87951807228916
LS,183620.29333333333,2012.4266666666667,156116.4,4276.093333333333,372.6
Legacy,25537.596153846152,2009.0,218136.53846153847,2161.1826923076924,163.79807692307693
Model-3,203824.65625,2020.1875,31009.21875,0.0,396.59375
Model-S,201986.09677419355,2015.967741935484,129574.93548387097,0.0,449.3225806451613
Model-X,309898.06666666665,2017.9333333333334,71925.53333333334,0.0,507.06666666666666
NX,149701.29834254144,2017.6187845303868,68772.29281767955,2211.767955801105,208.58011049723757
Outback,75898.6724137931,2013.6293103448277,154213.6551724138,2534.75,182.27586206896552
Pacifica,128192.19672131147,2018.188524590164,72909.86885245901,3605.188524590164,286.9016393442623
Panamera,361483.89497716894,2015.7945205479452,98565.87671232877,3844.1917808219177,421.1506849315069
RC,165467.40625,2016.84375,66067.40625,3080.34375,325.25
RX,168415.9189189189,2015.2432432432433,110807.57432432432,2999.9594594594596,251.22972972972974
Taycan,700346.234375,2021.34375,4231.921875,0.0,592.3125
UX,152871.59375,2020.3125,17416.78125,1987.0,167.875
Voyager,11816.0,2006.1333333333334,260818.53333333333,2602.6666666666665,147.8
WRX,134138.86666666667,2015.8666666666666,75598.76666666666,2420.6,299.6666666666667
XV,86879.1746031746,2017.3015873015872,76624.15873015873,1913.873015873016,143.11111111111111
a-klasa,94375.34019204389,2014.6104252400548,103600.69958847736,1702.9355281207133,165.86556927297667
a1,67485.21875,2015.8515625,86630.15625,1305.5390625,111.609375
a3,50333.18629407851,2011.6407185628743,171717.39654025284,1738.8176979374584,135.7564870259481
a4,68022.19812030075,2012.3575187969925,181926.5120300752,1998.7233082706766,166.66654135338345
a4-allroad,143892.14375,2017.01875,111622.875,2035.5375,205.18125
a5,115941.62602459016,2014.907786885246,132713.5737704918,2130.4784836065573,202.9969262295082
a6,144090.2946902655,2015.1097345132744,143238.90619469027,2363.905309734513,220.16637168141594
accord,36185.78965517241,2009.1758620689654,206147.87931034484,2126.7241379310344,166.42758620689656
adam,32512.285714285714,2014.968253968254,88066.60317460318,1310.3968253968253,85.07936507936508
agila,14018.808510638299,2008.8936170212767,143728.31914893616,1116.7021276595744,74.44680851063829
alhambra,57180.50793650794,2012.3015873015872,199593.99206349207,1878.2539682539682,147.79365079365078
almera,7121.111111111111,2005.3333333333333,209135.33333333334,1497.0,98.0
altea,17848.090909090908,2007.7792207792209,195310.37662337662,1653.9415584415585,111.77922077922078
altea-xl,20967.91390728477,2009.158940397351,204254.33774834438,1723.2847682119204,120.94039735099338
amarok,119115.46875,2014.59375,155630.59375,2313.40625,186.75
amg-gt,589995.546875,2019.453125,30284.875,3505.859375,481.546875
ampera,85033.42857142857,2015.857142857143,93678.28571428571,941.7142857142857,162.57142857142858
antara,28884.2109375,2009.109375,191977.0078125,2145.140625,154.890625
arkana,140242.9375,2021.6328125,710.28125,1419.9140625,137.25
arona,88102.78205128205,2019.7564102564102,32954.570512820515,1063.6602564102564,110.03205128205128
arteon,185886.03131991051,2020.2080536912752,43086.74049217002,1919.0738255033557,195.0917225950783
astra,33562.40577385726,2012.5004009623096,158457.7064955894,1549.9077786688051,124.38171611868485
asx,52419.65579710145,2014.358695652174,125900.51449275362,1708.3260869565217,128.43115942028984
